iter	Passed	Remaining
531	3059	2691
532	3067	2687
533	3072	2681
534	3077	2675
535	3084	2670
536	3090	2664
537	3096	2659
538	3103	2654
539	3108	2647
540	3114	2642
541	3119	2636
542	3125	2630
543	3131	2625
544	3137	2619
545	3143	2613
546	3151	2609
547	3157	2604
548	3163	2599
549	3169	2593
550	3174	2587
551	3181	2581
552	3186	2575
553	3192	2570
554	3199	2564
555	3204	2559
556	3210	2553
557	3218	2549
558	3223	2543
559	3230	2538
560	3236	2532
561	3242	2526
562	3248	2521
563	3254	2515
564	3259	2509
565	3266	2504
566	3272	2499
567	3279	2494
568	3285	2488
569	3290	2482
570	3296	2476
571	3302	2470
572	3307	2464
573	3313	2459
574	3319	2453
575	3324	2447
576	3330	2441
577	3335	2435
578	3341	2429
579	3347	2424
580	3353	2418
581	3359	2412
582	3365	2407
583	3371	2401
584	3378	2396
585	3384	2391
586	3390	2385
587	3396	2380
588	3402	2374
589	3409	2369
590	3415	2363
591	3421	2357
592	3427	2352
593	3432	2346
594	3438	2340
595	3445	2335
596	3451	2329
597	3457	2324
598	3463	2318
599	3469	2313
600	3476	2307
601	3481	2301
602	3487	2296
603	3493	2290
604	3498	2284
605	3504	2278
606	3510	2272
607	3516	2267
608	3524	2262
609	3530	2256
610	3535	2251
611	3542	2246
612	3548	2240
613	3554	2234
614	3559	2228
615	3565	2222
616	3571	2217
617	3577	2211
618	3582	2205
619	3594	2202
620	3599	2196
621	3605	2191
622	3611	2185
623	3617	2179
624	3623	2173
625	3628	2167
626	3634	2162
627	3640	2156
628	3647	2151
629	3653	2145
630	3659	2140
631	3665	2134
632	3672	2129
633	3677	2123
634	3684	2117
635	3689	2111
636	3695	2105
637	3702	2100
638	3707	2094
639	3712	2088
640	3719	2083
641	3725	2077
642	3731	2071
643	3738	2066
644	3744	2060
645	3750	2055
646	3757	2049
647	3764	2044
648	3770	2039
649	3775	2033
650	3782	2027
651	3787	2021
652	3793	2015
653	3799	2010
654	3804	2004
655	3809	1997
656	3816	1992
657	3822	1986
658	3827	1980
659	3833	1975
660	3839	1969
661	3844	1963
662	3850	1957
663	3857	1951
664	3863	1946
665	3869	1940
666	3874	1934
667	3881	1929
668	3887	1923
669	3892	1917
670	3898	1911
671	3904	1905
672	3910	1899
673	3916	1894
674	3922	1888
675	3928	1882
676	3933	1876
677	3938	1870
678	3949	1866
679	3954	1860
680	3960	1855
681	3966	1849
682	3971	1843
683	3979	1838
684	3985	1832
685	3992	1827
686	3997	1821
687	4003	1815
688	4010	1810
689	4016	1804
690	4021	1798
691	4028	1792
692	4033	1786
693	4039	1781
694	4046	1775
695	4051	1769
696	4057	1763
697	4063	1758
698	4068	1752
699	4075	1746
700	4081	1740
701	4086	1734
702	4092	1729
703	4098	1723
704	4104	1717
705	4110	1711
706	4115	1705
707	4121	1699
708	4127	1694
709	4132	1687
710	4138	1682
711	4144	1676
712	4149	1670
713	4157	1665
714	4164	1659
715	4170	1654
716	4177	1648
717	4184	1643
718	4191	1638
719	4196	1632
720	4202	1626
721	4208	1620
722	4213	1614
723	4218	1608
724	4224	1602
725	4229	1596
726	4234	1590
727	4240	1584
728	4245	1578
729	4251	1572
730	4257	1566
731	4263	1560
732	4269	1555
733	4274	1549
734	4279	1543
735	4285	1537
736	4291	1531
737	4297	1525
738	4303	1520
739	4309	1514
740	4314	1508
741	4321	1502
742	4326	1496
743	4332	1490
744	4338	1484
745	4343	1478
746	4349	1473
747	4355	1467
748	4360	1461
749	4366	1455
750	4371	1449
751	4376	1443
752	4382	1437
753	4388	1431
754	4393	1425
755	4399	1419
756	4404	1414
757	4409	1407
758	4415	1402
759	4420	1396
760	4425	1389
761	4432	1384
762	4437	1378
763	4442	1372
764	4448	1366
765	4454	1360
766	4459	1354
767	4466	1349
768	4471	1343
769	4476	1337
770	4482	1331
771	4488	1325
772	4493	1319
773	4499	1313
774	4504	1307
775	4509	1301
776	4515	1296
777	4521	1290
778	4525	1284
779	4532	1278
780	4537	1272
781	4542	1266
782	4548	1260
783	4554	1254
784	4559	1248
785	4565	1242
786	4570	1236
787	4575	1230
788	4580	1225
789	4585	1219
790	4590	1213
791	4596	1207
792	4602	1201
793	4606	1195
794	4613	1189
795	4618	1183
796	4623	1177
797	4630	1172
798	4636	1166
799	4642	1160
800	4649	1155
801	4655	1149
802	4662	1143
803	4667	1137
804	4672	1131
805	4678	1126
806	4683	1120
807	4688	1114
808	4695	1108
809	4700	1102
810	4706	1096
811	4711	1090
812	4716	1084
813	4722	1079
814	4727	1073
815	4732	1067
816	4738	1061
817	4744	1055
818	4749	1049
819	4755	1043
820	4761	1038
821	4783	1035
822	4790	1030
823	4796	1024
824	4802	1018
825	4809	1013
826	4814	1007
827	4820	1001
828	4827	995
829	4833	989
830	4840	984
831	4846	978
832	4852	972
833	4859	967
834	4864	961
835	4871	955
836	4877	949
837	4882	943
838	4890	938
839	4895	932
840	4901	926
841	4907	920
842	4912	914
843	4918	909
844	4924	903
845	4929	897
846	4935	891
847	4940	885
848	4946	879
849	4952	873
850	4957	868
851	4963	862
852	4970	856
853	4975	850
854	4981	844
855	4987	839
856	4993	833
857	4999	827
858	5006	821
859	5012	815
860	5019	810
861	5025	804
862	5031	798
863	5038	793
864	5044	787
865	5051	781
866	5057	775
867	5062	769
868	5069	764
869	5075	758
870	5081	752
871	5088	746
872	5093	741
873	5100	735
874	5106	729
875	5111	723
876	5117	717
877	5123	711
878	5129	706
879	5135	700
880	5140	694
881	5145	688
882	5152	682
883	5158	676
884	5166	671
885	5172	665
886	5178	659
887	5185	654
888	5191	648
889	5198	642
890	5203	636
891	5209	630
892	5216	625
893	5222	619
894	5230	613
895	5236	607
896	5242	601
897	5249	596
898	5254	590
899	5260	584
900	5266	578
901	5271	572
902	5278	566
903	5283	561
904	5289	555
905	5296	549
906	5301	543
907	5307	537
908	5313	531
909	5318	525
910	5324	520
911	5330	514
912	5336	508
913	5343	502
914	5349	496
915	5354	491
916	5361	485
917	5366	479
918	5373	473
919	5378	467
920	5384	461
921	5390	456
922	5396	450
923	5401	444
924	5408	438
925	5414	432
926	5420	426
927	5426	420
928	5431	415
929	5438	409
930	5444	403
931	5449	397
932	5455	391
933	5461	385
934	5466	380
935	5473	374
936	5479	368
937	5485	362
938	5492	356
939	5497	350
940	5503	345
941	5509	339
942	5514	333
943	5521	327
944	5526	321
945	5531	315
946	5538	309
947	5543	304
948	5549	298
949	5555	292
950	5560	286
951	5565	280
952	5572	274
953	5577	268
954	5583	263
955	5588	257
956	5593	251
957	5599	245
958	5604	239
959	5609	233
960	5615	227
961	5620	222
962	5625	216
963	5630	210
964	5636	204
965	5641	198
966	5646	192
967	5652	186
968	5658	181
969	5663	175
970	5668	169
971	5673	163
972	5679	157
973	5685	151
974	5691	145
975	5696	140
976	5702	134
977	5707	128
978	5713	122
979	5719	116
980	5724	110
981	5730	105
982	5736	99
983	5741	93
984	5748	87
985	5754	81
986	5760	75
987	5766	70
988	5772	64
989	5777	58
990	5783	52
991	5788	46
992	5793	40
993	5799	35
994	5804	29
995	5809	23
996	5814	17
997	5819	11
998	5824	5
999	5831	0
