iter	RMSE
0	0.3848818684
1	0.3738392793
2	0.3634104663
3	0.3531663157
4	0.3437232178
5	0.3342995858
6	0.3257915865
7	0.3166354594
8	0.3084490089
9	0.3002004039
10	0.2923541014
11	0.2851839585
12	0.2782824861
13	0.2713186516
14	0.2653104906
15	0.2588065873
16	0.2526451066
17	0.247058579
18	0.2413048935
19	0.2362443723
20	0.2313227777
21	0.2263967745
22	0.2215676696
23	0.2166731229
24	0.2126017463
25	0.2086048769
26	0.2043645605
27	0.2003825055
28	0.1967250468
29	0.1935254269
30	0.1901628886
31	0.1867047137
32	0.1836581643
33	0.1808985768
34	0.1779447795
35	0.1752571694
36	0.1725548505
37	0.1698643594
38	0.167369911
39	0.1650932727
40	0.1627512039
41	0.1604226027
42	0.1584965898
43	0.156581267
44	0.1545435098
45	0.1526699223
46	0.150746592
47	0.1488638515
48	0.1471628741
49	0.145592741
50	0.1440963451
51	0.1425527659
52	0.1410883474
53	0.1396720228
54	0.138587648
55	0.1372517315
56	0.1357481315
57	0.1344902977
58	0.1333802622
59	0.1322694157
60	0.1312568193
61	0.1302588401
62	0.1294269654
63	0.12836737
64	0.1274229629
65	0.1265423474
66	0.1256992795
67	0.124911663
68	0.1240088225
69	0.1230611936
70	0.1223361479
71	0.1214559319
72	0.1206561062
73	0.119921341
74	0.1192415167
75	0.1185001323
76	0.1178695423
77	0.1173148014
78	0.1168127198
79	0.1162314795
80	0.115625938
81	0.115145978
82	0.1146033344
83	0.114062932
84	0.1135416688
85	0.1129915653
86	0.1125312351
87	0.1120905823
88	0.1115182224
89	0.1109528614
90	0.1104655553
91	0.1098979034
92	0.1095688509
93	0.1090786215
94	0.1086592965
95	0.1083965608
96	0.1080837379
97	0.1075445215
98	0.1071333114
99	0.1066940888
100	0.1063724046
101	0.1059594148
102	0.1056348433
103	0.105308021
104	0.1048561032
105	0.1043448843
106	0.1039382586
107	0.1036717945
108	0.1034236231
109	0.1030610591
110	0.1027000024
111	0.1023797927
112	0.1021435916
113	0.1018656442
114	0.1015225318
115	0.1012159889
116	0.1007695641
117	0.1004909154
118	0.1001052049
119	0.09975897803
